restaurant,type,cuisine,taste,beverage,service,cost,location,buffet,opinion,sentiment,satisfied
Sookdal,savory,korean,4,0,0,400.00,1,0,Sound pretty expensive because it is not buffet,negative,1
Sushiro,savory,japanese,4,0,0,800.00,2,0,"The price is actually good for single plate but when all of them add up,it can be pretty expensive because there are so little in each plate",negative,0
Momo Paradise,savory,japanese,4,0,0,659.00,1.8,1,"Delicious place to eat buffet with friends,premium meat,nice soup,and great mango sherbet",positive,1
Rengaya,savory,japanese,5,0,1,"1,250.00",3.5,0,Super good meat that melts in your mouth,positive,1
Bar B Q Plaza,savory,thai,3,0,1,400.00,2,0,Pretty expensive and not so many choice to choose in the menu,negative,0
Luerjai,savory,usa,4,0,0,229.00,1.6,0,Great quality and healthy food with salmon sashimi,positive,1
Kouen,savory,japanese,4,0,-1,882.00,1.6,1,Very expensive and the food took a very long time to be served,negative,0
Tenten Shabu,savory,japanese,4,0,0,940.00,1.6,1,Very interesting menu but the net price is too high compated to the price on the menu,neutral,0
Chabuton,savory,japanese,3,0,-1,240.00,2,0,Have to wait for the food for a very long time and a lot of carb,negative,0
Dookki,savory,korean,4,0,0,299.00,1.8,1,Not many choice of meat and a lot of carb ,negative,1
Saboten,savory,japanese,3,0,0,365.00,1.6,0,Personally not into tonkutsu to pay that much,negative,0
Copper Buffet,savory,"japanese,french,italian,thai,chinese",5,0,1,999.00,7.4,1,Premium international buffet with great food variety and quality and great service,positive,1
GuGu Chicken,savory,korean,4,0,-1,139.00,3,0,"Good taste and pretty cheap,better than Bonchon",positive,1
Bonchon,savory,korean,2,0,0,165.00,2.6,0,The fried chicken is okay ,neutral,0
Honmono,savory,japanese,3,0,0,435.00,1.6,0,Great quality food with fresh salmon sashimi,positive,0
Sushi Masa,savory,japanese,4,0,1,410.00,0.5,0,Great quality food and very close to my house,positive,1
Tenya,savory,japanese,2,0,0,125.00,3,0,Too much rice with little topping,negative,0
Plearn Pung ,savory,thai,3,1,1,90.00,1.6,0,Low price food with acceptable taste,neutral,1
Pizza Company,savory,usa,3,0,1,155.00,1.5,0,All carb and pretty high price compared to satisfaction,negative,0
Mc Donald's,savory,usa,4,0,1,160.00,1.6,0,All carb and not very healthy ,negative,1
KFC,savory,usa,2,0,0,119.00,3,0,Not healthy food and not so many choices to choose,negative,0
Mos Burger,savory,usa,3,0,1,90.00,1.6,0,Provide a healthy choice but not actually interesting ,neutral,1
Taco Bell,savory,usa,3,0,1,150.00,1.6,0,Not really a healthy choice but taste good and provide interesting menu,neutral,1
Sushi OO,savory,japanese,3,0,-1,319.00,2.6,0,Sometimes food quality is not so fresh and the environment does not look clean,negative,0
Mongkok,savory,hongkongese,4,1,1,588.00,2.6,1,"In love with the squid they provide,great variety of food and dessert",positive,1
Akiyoshi,savory,japanese,3,0,-1,599.00,1.6,1,Vegetable is not so fresh and not so many choice of food to choose,negative,0
Kagonoya,savory,japanese,4,0,0,823.00,1.6,1,Very expensitve to get more variety of food,neutral,1
Burger King,savory,usa,3,1,0,225.00,1.6,0,Expensive for a fast food restaurant,negative,0
CoCo Ichibanya,savory,japanese,1,0,-1,175.00,1.6,0,Not so many interesting choice and also makes me sick,negative,0
Somtam Nua,savory,thai,4,0,0,200.00,1.8,0,Not interesting choice of food and also looks spicy,negative,0
Ping Noey,savory,thai,3,0,0,298.00,1.6,1,Fun place to go with friends and nice environment ,positive,1
Tudari,savory,korean,3,1,0,295.00,1.6,0,Not so many choice to choose and not into my liking,negative,0
On the Table,savory,japanese,4,1,1,210.00,1.6,0,Nice food variety and quality as a japanese fusion cuisine,neutral,1
Dak Galbi,savory,korean,3,0,1,200.00,1.5,0,Good service and the food is nice,positive,0
Evaime,savory,japanese,4,0,1,349.00,1.6,1,Pretty large range of food and also provide delicious dessert,positive,1
Greyhound Cafe,savory,"italian,thai",4,1,1,270.00,1.6,0,Provide a large range of cuisine and delicious food,positive,1
